datasetid,recordid,record_timestamp,commune,obs_gestion,section,geo_point_2d,nom_voie,mot_directeur,pole,tm,observations,code_insee,carte_velo,longueur_m,type,obs_type,revetement,eclairage,geometry_type,geometry_coordinates,geo_shape_type,geo_shape_coordinates_1,geo_shape_coordinates_2,geo_shape_coordinates_3
reseau-cyclable-et-vert,a514dce2375fca9b626072460232fc126a80abc3,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Liaison Froidure - L,"(43.6281295949, 1.4496574304399998)",PLACE ANTONIN FROIDURE,FROIDURE,Nord,oui,,31555,Piste cyclable ou partagee,82,RC,voie verte,stabilise,,Point,"(1.4496574304399998, 43.6281295949)",MultiLineString,"[(1.4495778827509431, 43.62849510580653), (1.449736978135568, 43.62776408392546)]",,
reseau-cyclable-et-vert,4db4648e1441e1171259d082a3dfe0af121e4115,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Argoulets - Stade,"(43.6106050369, 1.48477326946)",PASSAGE SOUS AUTOROUTE,STADE LATECOERE,Est,oui,,31555,Piste cyclable ou partagee,105,RC,tunnel,béton,,Point,"(1.48477326946, 43.6106050369)",MultiLineString,"[(1.484128891127431, 43.61055480574818), (1.484986153280653, 43.61061329246991), (1.485414898242344, 43.61067990775838)]",,
reseau-cyclable-et-vert,49eb8e14e1ff7ef6b300048713d0a7cc59f5c047,2021-10-06 00:01:14.899+02:00,Balma,TM,Argoulets - Stade,"(43.6107036407, 1.48556748174)",PASSAGE SOUS AUTOROUTE,STADE LATECOERE,Est,oui,,31044,Piste cyclable ou partagee,25,RC,passerelle,béton,,Point,"(1.48556748174, 43.6107036407)",MultiLineString,"[(1.485414898242344, 43.61067990775838), (1.485720065236426, 43.61072737364716)]",,
reseau-cyclable-et-vert,eec79a4def6597d907b4661ee5ccdb8c79e4e5f9,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Carrefour Lombez - L,"(43.5937359135, 1.40852691517)",AVENUE DE LARDENNE,LARDENNE,Centre,oui,,31555,Piste cyclable ou partagee,46,RC,piste cyclable,enrobé,,Point,"(1.40852691517, 43.5937359135)",MultiLineString,"[(1.408804243139967, 43.59378794228939), (1.4082495872081982, 43.59368388461954)]",,
reseau-cyclable-et-vert,d1184c9b212f12686401b9a981a03d9e62f60b87,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Niger - Amidonniers,"(43.6072955388, 1.41749754748)",Canalet,CANALET,Centre,oui,,31555,Piste cyclable ou partagee,609,RC,voie verte,,,Point,"(1.41749754748, 43.6072955388)",MultiLineString,"[(1.4206578413224151, 43.60618010233559), (1.418896297837919, 43.606682427714276), (1.4183376518798592, 43.60664454998707), (1.41753316614631, 43.607007083359065), (1.41657897509566, 43.60759168970646), (1.4159970905125001, 43.60782776739414), (1.415121208467439, 43.608298879447055), (1.415173906078697, 43.60836186246605), (1.415408751860555, 43.608669373488674), (1.415886070734291, 43.608873836424024)]",,
reseau-cyclable-et-vert,94ac8a99cd9ab62bb5c8c193738a63fe0ece5c41,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Curie - Tunis,"(43.6228705814, 1.44565865106)",rue Cazenzeuve,CAZENEUVE,Nord,oui,,31555,Piste cyclable ou partagee,913,RC,piste cyclable,,,Point,"(1.44565865106, 43.6228705814)",MultiLineString,"[(1.44443968250097, 43.62668383527697), (1.444465248684082, 43.626389109824125), (1.4446956702751002, 43.62600567129753), (1.445522837230367, 43.62526894949065), (1.445655179687295, 43.625034672586565), (1.4457360319158021, 43.623986619352), (1.445749555580517, 43.6234556737087), (1.445654129940878, 43.62294949252827), (1.44565030136304, 43.622440495062534), (1.445648028368975, 43.6223036063488), (1.445703577766255, 43.621931429720924), (1.445781784150686, 43.621315723369754), (1.4458129052376472, 43.621191834468036), (1.446111174131399, 43.620430274053525), (1.44625013174516, 43.620077744590986), (1.4463674120713361, 43.61980082379962), (1.446403171945494, 43.61972122169605), (1.4464091680160092, 43.61964719538146), (1.446321374309583, 43.6193471989348), (1.4461261917371782, 43.61883897645)]",,
reseau-cyclable-et-vert,5fe5bea037e1a1263f4b1f4d3290c687c3c63a17,2021-10-06 00:01:14.899+02:00,Toulouse,TM,Place,"(43.6003747551, 1.4520900208)",MONUMENT AUX MORTS,MONUMENT AUX MORTS,Centre,oui,,31555,Bande cyclable ou couloir bus,51,RC,bande cyclable,enrobé,,Point,"(1.4520900208, 43.6003747551)",MultiLineString,"[(1.451786968006434, 43.60044334740166), (1.4523930735998, 43.60030616279981)]",,
reseau-cyclable-et-vert,71fc5b429e94802de582a9108182b57e4f21fe40,2021-10-06 00:01:14.899+02:00,Toulouse,TM,estebe - barriere de,"(43.6222559559, 1.43509178442)",avenue des minimes,MINIMES,Nord,oui,,31555,Bande cyclable ou couloir bus,998,RC,bande cyclable,enrobé,,Point,"(1.43509178442, 43.6222559559)",MultiLineString,"[(1.436649254044102, 43.61794192992924), (1.436179047306072, 43.61976233021618), (1.43565678230635, 43.62080081199755), (1.434894605903688, 43.622373836653765), (1.4344803257690342, 43.6232447632147), (1.43425616811297, 43.62411625521864), (1.434028294188976, 43.62523371113728), (1.433975503764318, 43.62596937886765), (1.433796012605843, 43.626642539706154)]",,
reseau-cyclable-et-vert,b9bb0ea881576214eedfee82771f669771dfde18,2021-10-06 00:01:14.899+02:00,Toulouse,TM,lascrosses - dartagn,"(43.6076550015, 1.42914245975)",rue du bearnais,BEARNAIS,Centre,oui,,31555,Bande cyclable ou couloir bus,208,RC,bande a contresens,enrobé,,Point,"(1.42914245975, 43.6076550015)",MultiLineString,"[(1.430026759730275, 43.60698306844077), (1.429071899072804, 43.607699208938506), (1.42849191137076, 43.608154198780184), (1.4282811874910482, 43.608354645215044)]",,
reseau-cyclable-et-vert,536f4546660ee7f5eb2c37461c3cec2c9ef4a2b2,2021-10-06 00:01:14.899+02:00,Toulouse,TM,lardenne - ramelet m,"(43.5906793169, 1.39308058458)",che savit,SAVIT,Sud,oui,,31555,Bande cyclable ou couloir bus,706,RC,bande cyclable,,,Point,"(1.39308058458, 43.5906793169)",MultiLineString,"[(1.391651227375041, 43.59366378222237), (1.3924001805876691, 43.59264725983691), (1.3931082660276561, 43.59050733190702), (1.393581978526649, 43.589358886575155), (1.394096238737714, 43.588196585954464), (1.394280434214108, 43.58782439656184), (1.3944993720676622, 43.587724982824604)]",,
